Brand_Name;Sustainability_Rating;Material_Type;Eco_Friendly_Manufacturing;Carbon_Footprint_MT;Water_Usage_Liters;Waste_Production_KG;Recycling_Programs;Average_Price_USD;Product_Category
Brand_73;A;Tencel;Yes;286,44;1562546,48;7867,05;No;459,94;Jacket
Brand_74;C;Tencel;Yes;51,55;4796819,05;25167,92;No;81,26;Sweater
Brand_75;B;Tencel;No;204,09;1863153,5;26493,93;No;416,51;Coat
Brand_76;A;Recycled Polyester;No;169,63;4347329,99;65146,43;No;409,91;Cardigan
Brand_77;C;Recycled Polyester;No;347,09;1519014,18;59379,99;Yes;479,21;Pajamas
Brand_78;D;Vegan Leather;Yes;77,71;1880107,35;30899,97;No;359,23;Coat
Brand_79;B;Organic Cotton;Yes;343,04;2475171,71;27182,05;No;216,13;Scarf
Brand_80;B;Vegan Leather;No;358,73;1568552,21;78799,16;No;240,02;Jacket
Brand_81;A;Recycled Polyester;No;218,1;2298435,19;1761,34;Yes;155,15;T-shirt
Brand_82;C;Vegan Leather;Yes;331,04;2664508,93;84504,49;No;183,26;Hat
Brand_83;C;Tencel;Yes;204,77;1962249,61;35066,22;No;319,43;Jacket
Brand_84;C;Organic Cotton;Yes;75,48;4650439,21;28599,2;Yes;225,2;Socks
Brand_85;D;Recycled Polyester;No;44,34;2044130,86;2395,39;No;282,44;Pajamas
Brand_86;C;Recycled Polyester;No;199,92;2488315,29;74339,23;No;370,28;Pajamas
Brand_87;A;Vegan Leather;Yes;276,69;2381958,82;66716;Yes;132,48;Socks
Brand_88;D;Vegan Leather;Yes;291,79;3203689,5;50000,66;No;46,62;Scarf
Brand_89;C;Vegan Leather;Yes;475,14;4548945,26;42811,53;No;481,61;Sweater
Brand_90;D;Vegan Leather;No;152,06;3389499,28;58440,36;No;393,27;T-shirt
Brand_91;B;Tencel;No;264,41;2637824,7;7912,57;No;463,65;Coat
Brand_92;B;Vegan Leather;No;364,82;2186640,3;5824,14;No;462,08;Hat
Brand_93;B;Vegan Leather;Yes;384,95;3477669,16;24539,14;No;436,23;Blouse
Brand_94;D;Bamboo Fabric;No;53,16;357792,7;59407,19;No;95,64;Hat
Brand_95;A;Tencel;Yes;123,64;4612093,6;56884,63;No;158,43;Sweater
Brand_96;C;Vegan Leather;No;347,56;3505851,91;51945,53;No;486,69;Shirt
Brand_97;C;Recycled Polyester;Yes;479,65;1363339,6;64472,04;No;472,66;Hat
Brand_98;C;Tencel;No;186,63;2218131,45;98925,73;Yes;135,77;Coat
Brand_99;B;Organic Cotton;No;252,22;958875,53;53722,85;Yes;29,62;Cardigan
Brand_100;B;Recycled Polyester;No;481,39;4906438,37;27322,55;No;135,05;Sweater
Brand_101;D;Hemp;Yes;242,61;1934618,84;63190,78;No;355,31;Scarf
Brand_102;B;Recycled Polyester;No;427,13;3641910,27;17326,87;Yes;173,84;Socks
Brand_103;A;Bamboo Fabric;Yes;47,65;1331967,52;18425,04;Yes;135,3;T-shirt
Brand_104;A;Tencel;No;302,11;1817495,16;33016,78;Yes;384,04;Blouse
Brand_105;A;Hemp;Yes;360,09;3732137,92;77538,73;No;114,86;Cardigan
Brand_106;C;Organic Cotton;Yes;20,73;1272635,13;12883,33;No;481,53;Scarf
Brand_107;C;Hemp;No;316,7;1408780,91;51791,04;Yes;470,45;Socks
Brand_108;D;Vegan Leather;Yes;63,55;3546692,49;61813,16;Yes;207,52;Scarf
Brand_109;B;Vegan Leather;Yes;85;1954874,74;5549,41;Yes;94,71;Sweater
Brand_110;A;Vegan Leather;No;409,37;1329572,99;70682,62;Yes;189,25;T-shirt
Brand_111;A;Tencel;No;18,34;1971538,81;49206,09;No;210,31;Scarf
Brand_112;C;Organic Cotton;No;218,65;916249,72;92679,89;Yes;280,13;Blouse
Brand_113;B;Organic Cotton;No;471,17;173345,1;95980,3;No;477,76;Cardigan
Brand_114;D;Vegan Leather;Yes;323,13;1432621,83;25997,5;Yes;239,04;Coat
Brand_115;D;Tencel;Yes;419,84;4900485,4;92114,78;Yes;142,88;Dress
Brand_116;B;Vegan Leather;No;279,42;3242822,34;59473,38;Yes;328,45;Jacket
Brand_117;C;Bamboo Fabric;No;17,89;2958385,59;30934,79;No;47,61;T-shirt
Brand_118;C;Organic Cotton;No;357,99;2829885,94;90089,19;No;467,22;Sweater
Brand_119;C;Hemp;No;178,13;3408139,71;66214,85;No;452,99;Socks
Brand_120;D;Bamboo Fabric;No;149,42;105902,81;15054,43;No;274,49;Cardigan
Brand_121;A;Recycled Polyester;No;233,99;2595245,48;41516,78;No;145,94;Blouse
Brand_122;B;Hemp;No;359,68;2487675,57;62073,72;No;475,94;Hat
Brand_123;B;Hemp;Yes;261,27;1276598,09;36497,19;No;475,28;Socks
Brand_124;C;Organic Cotton;Yes;197,43;3327856,95;1026,38;No;478,81;Jacket
Brand_125;A;Bamboo Fabric;No;12,75;2839840,43;70815,72;Yes;134,71;Hat
Brand_126;D;Tencel;Yes;291,47;2972854,6;37791,12;Yes;373,04;Blouse
Brand_127;C;Hemp;Yes;125,39;1453757,85;29933,59;No;423,58;Pajamas
Brand_128;B;Vegan Leather;Yes;147,3;2497654,23;11487,46;No;352,8;Blouse
Brand_129;A;Tencel;Yes;441,4;3541423,74;84810,02;No;227,1;Dress
Brand_130;A;Organic Cotton;No;437,36;4610075,73;55101,57;Yes;256,29;Blouse
Brand_131;D;Bamboo Fabric;No;394,71;3737612,39;47507,88;Yes;209,74;Sweater
Brand_132;B;Recycled Polyester;No;54,25;4598900,27;1203,32;No;28,53;Dress
Brand_133;B;Hemp;No;499,82;4390878,58;75657,34;No;269,11;Shirt
Brand_134;B;Tencel;Yes;190,42;1482288,75;41553,33;No;220,25;Hat
Brand_135;A;Hemp;No;499,89;4771068,92;84972,17;No;29,47;Dress
Brand_136;A;Tencel;No;297,74;1168392,22;9798,28;Yes;138,36;Hat
Brand_137;B;Hemp;Yes;175,32;1797871,37;12358,45;Yes;33;Cardigan
Brand_138;C;Organic Cotton;No;296,75;3925788,39;84842,78;No;65,82;Cardigan
Brand_139;B;Tencel;No;305,66;2630130,72;43360,72;Yes;328,12;Sweater
Brand_140;B;Organic Cotton;Yes;95,73;3643293,99;46696,11;No;367,96;Blouse
Brand_141;C;Bamboo Fabric;Yes;445,67;4773997,53;54824,14;Yes;433,47;Coat
Brand_142;C;Hemp;Yes;275,48;2528385,2;18359,11;No;119,12;Sweater
Brand_143;A;Bamboo Fabric;No;199,17;3373982,21;13320,3;Yes;191,73;Socks
Brand_144;B;Hemp;No;332,24;1819385,59;95549,41;No;394,27;Scarf
Brand_145;C;Bamboo Fabric;Yes;15,44;3331973,79;5114,72;Yes;309,5;Jacket
Brand_146;B;Bamboo Fabric;Yes;164,31;3982288,22;60704,84;No;395,41;Hat
Brand_147;A;Hemp;Yes;374,79;581419,83;40911,13;Yes;309,15;Blouse
Brand_148;D;Tencel;No;184,92;262604,96;63384,21;No;264,94;Sweater
Brand_149;B;Recycled Polyester;No;351,17;4076142,85;22978,82;Yes;188,02;Coat
Brand_150;A;Recycled Polyester;No;309,84;3542368,46;11357,08;Yes;37,66;Scarf
Brand_151;B;Hemp;Yes;482,8;757408,83;62932,02;Yes;21,52;Socks
Brand_152;B;Hemp;No;243,15;3172294,5;98984,45;No;77,27;T-shirt
Brand_153;D;Hemp;Yes;1,61;4070653,06;45663,62;Yes;55,74;T-shirt
Brand_154;B;Tencel;Yes;30,67;4999380,44;49890,36;Yes;190,94;Dress
Brand_155;C;Organic Cotton;No;302,58;3627022,42;24060,1;No;131,09;Socks
Brand_156;C;Vegan Leather;No;31,91;4646796,22;79534,87;Yes;169,93;Coat
Brand_157;D;Vegan Leather;No;58,51;4706391,87;10851,45;No;257,12;Sweater
Brand_158;C;Hemp;Yes;433,37;2343266,44;65630,52;Yes;391,94;Sweater
Brand_159;C;Bamboo Fabric;Yes;321,76;768139,01;45242,69;No;391,85;Dress
Brand_160;C;Tencel;No;72,99;3543945,17;78175,07;No;163,77;Cardigan
Brand_161;C;Tencel;Yes;268,11;3333587,49;55919,39;Yes;302,43;Coat
Brand_162;C;Tencel;No;367,23;4428538,42;16475,73;Yes;404,96;Blouse
Brand_163;B;Recycled Polyester;Yes;484,3;4159619,25;33831,46;Yes;335,24;Scarf
Brand_164;A;Recycled Polyester;No;133,6;2337641,56;48998,42;Yes;488,56;Scarf
Brand_165;A;Tencel;Yes;464,76;2823867,02;90445,27;No;260,76;Cardigan
Brand_166;C;Recycled Polyester;Yes;356,35;4216320,08;80380,67;Yes;333,25;Coat
Brand_167;B;Vegan Leather;No;49,09;1488899,49;34403,32;Yes;63,14;Dress
Brand_168;A;Hemp;Yes;376,08;2280369,67;41246,45;No;29,87;Dress
Brand_169;D;Organic Cotton;No;112,55;4600761,17;24615,69;Yes;42,43;Scarf
Brand_170;B;Recycled Polyester;Yes;194,09;2297024,64;30322,01;Yes;403,2;Sweater
Brand_171;A;Hemp;No;310,24;3058443,05;71771,27;Yes;356,61;Sweater
Brand_172;C;Hemp;No;69,18;4615188,71;72036,31;Yes;493,65;Pajamas
Brand_173;B;Vegan Leather;No;171,53;4349678,82;6898,77;Yes;121,78;Shirt
Brand_174;A;Tencel;No;291,16;2529574,61;71591,58;No;92,83;Pajamas
Brand_175;B;Bamboo Fabric;No;94,76;76517,96;23062,35;No;199,48;T-shirt
Brand_176;D;Organic Cotton;No;147,84;4602705,14;45328,91;No;379,7;Socks
Brand_177;A;Organic Cotton;No;236,5;3297390,45;47502,47;Yes;276,06;Socks
Brand_178;B;Hemp;No;274,42;2911175,45;72056,77;Yes;384,5;Dress
Brand_179;B;Hemp;Yes;229,15;2277871,36;63581,26;No;478,28;Scarf
Brand_180;A;Bamboo Fabric;No;319,19;4776451,8;63171,25;No;217,05;Coat
Brand_181;D;Tencel;No;198,51;3475752,19;28061,1;No;238,91;Jacket
Brand_182;B;Organic Cotton;Yes;40,01;3984337,24;28204,78;Yes;147,02;Hat
Brand_183;A;Bamboo Fabric;Yes;380,3;4427311,21;47574,38;No;143,81;Blouse
Brand_184;D;Bamboo Fabric;Yes;295,12;3964493,5;42549,18;Yes;126,87;Sweater
Brand_185;C;Organic Cotton;Yes;1,33;3407000,65;96799,08;Yes;163,85;Sweater
Brand_186;A;Bamboo Fabric;Yes;344,71;406930,47;79639,11;No;348,21;Dress
Brand_187;A;Hemp;No;402,76;1982948,35;34682,73;No;115,44;Scarf
Brand_188;D;Organic Cotton;Yes;307,52;3731017,24;59023,01;No;142,07;Scarf
Brand_189;D;Vegan Leather;No;378,19;1315561,96;43522,71;No;90,6;Blouse
Brand_190;B;Recycled Polyester;No;92,96;858534,76;10347,49;Yes;472,99;Shirt
Brand_191;B;Bamboo Fabric;Yes;128,26;209134,71;14174,67;No;258,78;Cardigan
Brand_192;A;Tencel;No;409,84;3747225,25;29074,79;Yes;27,48;Blouse
Brand_193;A;Hemp;No;429,34;54484,49;17209,58;No;49,76;Jacket
Brand_194;A;Organic Cotton;Yes;229,33;4895683,9;96516,5;Yes;82,9;Coat
Brand_195;C;Bamboo Fabric;Yes;431,56;4947047,2;76475,84;No;448,79;Coat
Brand_196;A;Vegan Leather;No;463,02;3119576,1;97898,86;Yes;313,25;Coat
Brand_197;C;Hemp;No;132,8;2190634,28;46682,86;Yes;305,89;Dress
Brand_198;C;Vegan Leather;Yes;316,26;1723552,02;27806,8;Yes;452,27;Dress
Brand_199;D;Vegan Leather;No;441,9;3897505,37;58605,69;Yes;359,87;Scarf
Brand_200;C;Recycled Polyester;No;223,54;252971,31;39162,98;Yes;79,29;Blouse
Brand_201;B;Hemp;No;207,42;3206140,55;82538,61;Yes;119,34;Dress
Brand_202;D;Recycled Polyester;Yes;439,75;194696,6;71979,02;Yes;439,24;Hat
Brand_203;A;Bamboo Fabric;No;215,83;3252720,54;41294,92;No;406,32;Scarf
Brand_204;C;Tencel;Yes;85,62;4575682,55;66804,49;Yes;380,6;Coat
Brand_205;C;Tencel;No;45,97;3431078,72;42577,35;Yes;129,51;Hat
Brand_206;B;Hemp;Yes;113,24;3792173,73;20182,93;No;195,67;Blouse
Brand_207;D;Recycled Polyester;Yes;135,93;4604643,49;21353,76;No;114,58;T-shirt
Brand_208;C;Vegan Leather;No;409,95;4235223,46;67203,66;Yes;173,4;Scarf
Brand_209;D;Organic Cotton;Yes;187,78;2447833,25;43866,04;Yes;435,14;Dress
Brand_210;B;Organic Cotton;No;251,03;1079813,36;71367,21;Yes;359,91;T-shirt
Brand_211;A;Hemp;No;456,1;4076570,42;32729,28;No;214,68;Blouse
Brand_212;D;Hemp;Yes;393,08;417763,86;49542,77;No;27,03;T-shirt
Brand_213;B;Vegan Leather;Yes;358,33;3127245,84;86674,08;Yes;210,17;Socks
Brand_214;D;Hemp;Yes;60,27;2970341,87;58607,16;No;177,86;Sweater
Brand_215;D;Organic Cotton;Yes;258,78;1627210,8;43482,01;No;491,39;Coat
Brand_216;D;Organic Cotton;Yes;375,86;4936548,16;7389,3;No;224,76;Blouse
Brand_217;A;Bamboo Fabric;No;401,5;182462,67;63446,83;No;329,57;Blouse
Brand_218;D;Bamboo Fabric;Yes;457,72;4478474,6;29526,82;No;234,95;Blouse
Brand_219;D;Hemp;Yes;438,24;952076,9;91096,81;No;325,71;Blouse
Brand_220;D;Tencel;Yes;228,76;335184,43;28035,06;Yes;456,61;Coat
Brand_221;C;Vegan Leather;Yes;14,82;1929557,59;26774,93;Yes;369,6;Blouse
Brand_222;A;Recycled Polyester;Yes;52,33;1991922,54;89818,41;Yes;75,8;Socks
Brand_223;D;Vegan Leather;Yes;170,42;2364473,29;29751,48;Yes;314,95;Sweater
Brand_224;C;Bamboo Fabric;No;316,91;1521750,57;60810,32;No;374,47;Dress
Brand_225;A;Recycled Polyester;No;440,72;1131876,86;19126,25;Yes;277,86;Pajamas
Brand_226;D;Vegan Leather;Yes;252,89;3592593,46;92908,39;Yes;374,22;Pajamas
Brand_227;A;Hemp;Yes;354,79;4097191,58;11195,55;Yes;400,47;T-shirt
Brand_228;C;Recycled Polyester;No;9,25;3018460,08;28390,56;Yes;34,85;Coat
Brand_229;B;Bamboo Fabric;No;39,92;199893,69;43999,6;No;297,12;Coat
Brand_230;C;Recycled Polyester;Yes;215,87;3456943,82;58520,48;No;221,71;Scarf
Brand_231;D;Hemp;No;22,95;3253387,11;74409,86;No;109,84;Cardigan
Brand_232;A;Tencel;No;368,3;3282464,12;15895,44;Yes;224,68;Hat
Brand_233;B;Recycled Polyester;Yes;360,08;786734,6;23578,97;No;276,15;Scarf
Brand_234;D;Vegan Leather;No;476,19;3180896,37;34466,59;No;326,22;Cardigan
Brand_235;C;Organic Cotton;No;244,42;3957474,39;20465,35;Yes;121,71;Socks
Brand_236;A;Bamboo Fabric;No;473,36;1782635,86;8835,13;Yes;249,69;Cardigan
Brand_237;B;Recycled Polyester;Yes;361,5;2582180,84;60117,7;No;368,89;Jacket
Brand_238;A;Bamboo Fabric;Yes;248,57;1871302,45;9327,98;No;324,43;Pajamas
Brand_239;D;Bamboo Fabric;Yes;456,18;2298106,26;27290,31;Yes;124,96;T-shirt
Brand_240;A;Bamboo Fabric;Yes;378,81;4844735,17;68574,16;Yes;138,43;Socks
Brand_241;B;Recycled Polyester;Yes;127,31;2346590,57;14484,61;Yes;419,27;Hat
Brand_242;C;Recycled Polyester;No;231,13;3424325,21;70666,53;No;82,87;Cardigan
Brand_243;B;Recycled Polyester;Yes;146,41;1818130,74;13252,63;Yes;232,58;T-shirt
Brand_244;B;Organic Cotton;No;30,14;3625310,39;87699,99;Yes;442,66;Scarf
Brand_245;C;Vegan Leather;Yes;456,43;3350370,87;87749,43;No;115,59;Socks
Brand_246;C;Hemp;Yes;424,64;2608089,35;50577,02;Yes;23,7;Coat
Brand_247;C;Recycled Polyester;No;358,62;2880415,06;62712,33;Yes;362,82;Hat
Brand_248;B;Vegan Leather;No;212,98;3320356,38;6752,44;Yes;60,49;Hat
Brand_249;D;Bamboo Fabric;Yes;405,24;3048329,01;76273,29;No;361,03;Dress
Brand_250;A;Tencel;No;449,32;2493806,58;65392,33;No;425,74;T-shirt
Brand_251;A;Vegan Leather;No;429,1;3040963,86;97688,11;No;365,97;Hat
Brand_252;B;Organic Cotton;No;405,73;1261626,18;7281,79;No;176,06;T-shirt
Brand_253;C;Recycled Polyester;No;355,93;2260968,58;13386,89;No;478,96;Dress
Brand_254;A;Bamboo Fabric;Yes;241,81;2263789,87;53968,69;Yes;488,24;Shirt
Brand_255;D;Tencel;Yes;484,16;773875,94;82610,89;Yes;230,86;Hat
Brand_256;B;Tencel;No;268,02;1902924,59;14200,93;No;436,35;Hat
Brand_257;A;Bamboo Fabric;No;489,8;2188946,02;24376,21;Yes;189,87;Pajamas
Brand_258;A;Organic Cotton;Yes;342,09;2545356,06;16136,8;No;498,34;Socks
Brand_259;B;Hemp;No;188,71;2388298,54;40810,24;Yes;206,87;Scarf
Brand_260;A;Tencel;No;235,52;2357676,46;37785,6;No;204,77;Socks
Brand_261;D;Tencel;Yes;21,21;3735763,17;40921,6;No;328,84;Sweater
Brand_262;D;Organic Cotton;No;192,97;3234231,18;98319,02;Yes;269,46;Cardigan
Brand_263;A;Hemp;No;363,68;2146454,79;90222,52;No;192,22;Pajamas
Brand_264;B;Recycled Polyester;No;314,68;279217,99;97637,91;No;361,96;Hat
Brand_265;A;Hemp;Yes;370,35;174958,64;32439,23;No;334,97;Shirt
Brand_266;D;Tencel;Yes;208,21;4005063,96;96628,24;Yes;348,49;T-shirt
Brand_267;B;Bamboo Fabric;No;428,15;4278770,23;41612,19;Yes;147,63;Dress
Brand_268;A;Bamboo Fabric;No;48,32;1326816,39;5354,88;Yes;359,61;Scarf
Brand_269;C;Organic Cotton;No;391,59;381064,38;59819,43;No;331,47;Scarf
Brand_270;C;Hemp;Yes;105,99;2376533,15;42301,34;Yes;111,73;Blouse
Brand_271;B;Recycled Polyester;Yes;341,15;3977970,71;19036,08;No;175,17;Dress
Brand_272;A;Organic Cotton;No;66,27;3300495,72;69217,75;Yes;263,2;Pajamas
Brand_273;A;Bamboo Fabric;No;378,96;3538383,43;46348,86;Yes;320,27;Pajamas
Brand_274;C;Bamboo Fabric;No;416,73;3947337,39;88881,07;No;107,84;Blouse
Brand_275;D;Bamboo Fabric;No;274,48;4611213,12;50524,49;No;329,7;Pajamas
Brand_276;B;Hemp;Yes;249,48;1669637,51;61559;Yes;191,45;Sweater
Brand_277;A;Organic Cotton;No;307,03;1977925,04;93930,71;Yes;111,94;T-shirt
Brand_278;B;Vegan Leather;Yes;146,9;2888736,49;25305,94;No;497,71;T-shirt
Brand_279;C;Tencel;No;84,22;4834356,76;82780,35;Yes;377,83;Pajamas
Brand_280;A;Hemp;No;292,56;2826311,89;25654,3;No;42,36;Pajamas
Brand_281;C;Recycled Polyester;No;288,15;1341652,16;73498,48;Yes;39,9;Pajamas
Brand_282;C;Bamboo Fabric;Yes;158,6;4626059,81;73967,7;No;248,23;Scarf
Brand_283;D;Recycled Polyester;No;111,47;4113496,87;90494,24;No;320,05;T-shirt
Brand_284;B;Bamboo Fabric;Yes;227,96;3890391,92;33710,74;Yes;105,59;Sweater
Brand_285;D;Hemp;Yes;421,99;295419,6;81480,02;No;151,77;Socks
Brand_286;A;Hemp;No;460,59;1087178,59;16766,49;No;290,56;Pajamas
Brand_287;C;Recycled Polyester;No;64,95;179431,01;44900,82;Yes;107,51;Pajamas
Brand_288;D;Bamboo Fabric;No;451,3;203329,13;26472,94;Yes;111,47;Socks
Brand_289;A;Bamboo Fabric;No;168,92;4773679,87;84045,29;Yes;28;Sweater
Brand_290;B;Bamboo Fabric;Yes;101,57;1115145,63;48201,13;No;380,81;Scarf
Brand_291;C;Recycled Polyester;Yes;317,71;1842437,73;66520,48;Yes;304,8;Pajamas
Brand_292;C;Recycled Polyester;Yes;82,69;4421283,9;47982,06;No;73,63;Sweater
Brand_293;B;Recycled Polyester;Yes;92,62;3965263,66;65421,2;No;344,36;Shirt
Brand_294;D;Vegan Leather;No;18,94;838928,41;36003,89;Yes;418,22;Blouse
Brand_295;C;Hemp;No;246,43;3263741,45;6177,09;No;392,72;Jacket
Brand_296;C;Bamboo Fabric;Yes;109,86;4313210,42;33106,79;Yes;325,55;Dress
Brand_297;A;Organic Cotton;No;42,31;2800644,56;8375,29;No;68,78;Socks
Brand_298;C;Recycled Polyester;No;336,43;2052288,57;37532,19;No;484,53;Shirt
Brand_299;A;Vegan Leather;No;221,83;220448,6;17979,79;No;321,47;Pajamas
Brand_300;C;Bamboo Fabric;Yes;186,18;4555852,04;45798,65;No;452,53;Socks
Brand_301;D;Bamboo Fabric;No;468,72;1856635,79;97962,21;No;300,27;Hat
Brand_302;B;Tencel;No;153,28;1610499,22;48552,21;No;279,08;Shirt
Brand_303;D;Organic Cotton;Yes;175,69;1854383,31;55037,31;Yes;55,24;Scarf
Brand_304;C;Hemp;No;182,74;476772,03;81231,84;No;229,19;Pajamas
Brand_305;A;Bamboo Fabric;No;218,29;1224197,33;1756,57;Yes;329,8;Blouse
